[2016-12-24 14:02:41.731822]SIM[  9] Auth. time use:328677.000000(us)
[2016-12-24 14:02:54.734687]SIM[  9] Auth. time use:325538.000000(us)
[2016-12-24 14:03:07.728853]SIM[  9] Auth. time use:310712.000000(us)
[2016-12-24 14:03:20.744486]SIM[  9] Auth. time use:319343.000000(us)
[2016-12-24 14:03:33.753549]SIM[  9] Auth. time use:322404.000000(us)
[2016-12-24 14:03:46.765885]SIM[  9] Auth. time use:326742.000000(us)
[2016-12-24 14:03:59.780036]SIM[  9] Auth. time use:333893.000000(us)
[2016-12-24 14:04:12.781673]SIM[  9] Auth. time use:327529.000000(us)
[2016-12-24 14:04:25.777920]SIM[  9] Auth. time use:315776.000000(us)
[2016-12-24 14:04:38.789682]SIM[  9] Auth. time use:321539.000000(us)
[2016-12-24 14:04:51.791219]SIM[  9] Auth. time use:318074.000000(us)
[2016-12-24 14:05:04.808564]SIM[  9] Auth. time use:328424.000000(us)
[2016-12-24 14:05:17.815346]SIM[  9] Auth. time use:327192.000000(us)
[2016-12-24 14:05:30.799774]SIM[  9] Auth. time use:303630.000000(us)
[2016-12-24 14:05:43.827204]SIM[  9] Auth. time use:326060.000000(us)
[2016-12-24 14:05:56.828839]SIM[  9] Auth. time use:319696.000000(us)
[2016-12-24 14:06:09.828720]SIM[  9] Auth. time use:312576.000000(us)
[2016-12-24 14:06:27.111927]SIM[  9] Auth. time use:4590762.000000(us)
[2016-12-24 14:06:35.853292]SIM[  9] Auth. time use:325148.000000(us)
[2016-12-24 14:06:48.871863]SIM[  9] Auth. time use:336719.000000(us)
[2016-12-24 14:07:01.864647]SIM[  9] Auth. time use:321507.000000(us)
[2016-12-24 14:07:14.856518]SIM[  9] Auth. time use:306373.000000(us)
[2016-12-24 14:07:27.868145]SIM[  9] Auth. time use:309995.000000(us)
[2016-12-24 14:07:40.905599]SIM[  9] Auth. time use:340440.000000(us)
[2016-12-24 14:07:53.899534]SIM[  9] Auth. time use:325381.000000(us)
[2016-12-24 14:08:06.901990]SIM[  9] Auth. time use:319841.000000(us)
[2016-12-24 14:08:19.917436]SIM[  9] Auth. time use:327289.000000(us)
[2016-12-24 14:08:32.915496]SIM[  9] Auth. time use:318348.000000(us)
[2016-12-24 14:08:45.929238]SIM[  9] Auth. time use:324091.000000(us)
[2016-12-24 14:08:58.938369]SIM[  9] Auth. time use:326226.000000(us)
[2016-12-24 14:09:11.938885]SIM[  9] Auth. time use:319740.000000(us)
[2016-12-24 14:09:24.951322]SIM[  9] Auth. time use:326177.000000(us)
